도,시군,품목,작기,농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별꽃수,화방별개화수,화방별착과수,비고,주차시작일,주간평균_온도_외부,주간평균_일사량_외부,주간평균_온도_내부,주간평균_상대습도_내부
경기,고양,완숙토마토,1,6,2022-02-15,1,1.0,30.5,,6.0,16.2,11.9,5.0,3.3,1.0,4.0,2.0,0.0,,2022-02-14,-5.2857142857142865,,12.071428571428571,76.25714285714285
경기,고양,완숙토마토,1,6,2022-02-22,1,1.0,39.7,9.2,6.0,17.9,14.1,6.0,9.3,1.0,3.0,2.0,1.0,,2022-02-21,-5.871428571428573,,12.028571428571428,77.82857142857142
경기,고양,완숙토마토,1,6,2022-02-28,1,1.0,54.9,15.2,6.0,20.9,14.6,6.7,23.6,1.0,1.0,1.0,3.0,,2022-02-28,-0.557142857142857,,12.171428571428573,86.21428571428571
경기,고양,완숙토마토,1,6,2022-02-28,1,1.0,54.9,15.7,6.0,20.9,14.6,6.7,23.6,2.0,4.0,0.0,0.0,,2022-02-28,-0.557142857142857,,12.171428571428573,86.21428571428571
경기,고양,완숙토마토,1,6,2022-03-07,1,1.0,78.0,23.1,6.0,20.6,14.7,7.6,48.5,1.0,0.0,0.0,4.0,,2022-03-07,1.2857142857142858,,12.971428571428572,89.07142857142856
경기,고양,완숙토마토,1,6,2022-03-07,1,1.0,78.0,23.1,6.0,20.6,14.7,7.6,48.5,2.0,7.0,0.0,0.0,,2022-03-07,1.2857142857142858,,12.971428571428572,89.07142857142856
경기,고양,완숙토마토,1,6,2022-03-07,1,1.0,78.0,23.1,6.0,20.6,14.7,7.6,48.5,3.0,4.0,0.0,0.0,,2022-03-07,1.2857142857142858,,12.971428571428572,89.07142857142856
경기,고양,완숙토마토,1,6,2022-03-14,1,1.0,88.5,10.5,10.0,31.7,38.1,11.6,32.7,1.0,0.0,0.0,4.0,,2022-03-14,5.914285714285714,,13.257142857142856,93.0
경기,고양,완숙토마토,1,6,2022-03-14,1,1.0,88.5,10.5,10.0,31.7,38.1,11.6,32.7,2.0,7.0,5.0,0.0,,2022-03-14,5.914285714285714,,13.257142857142856,93.0
경기,고양,완숙토마토,1,6,2022-03-14,1,1.0,88.5,10.5,10.0,31.7,38.1,11.6,32.7,3.0,3.0,0.0,0.0,,2022-03-14,5.914285714285714,,13.257142857142856,93.0
